,id,original_language,popularity,release_date,title,vote_average,vote_count,budget,revenue,runtime,director,actor1,actor2,production_company,production_country,genre
0,929590,en,2953.978,2024-04-10,Civil War,7.152,1149,50000000,113911713,109,Alex Garland,Kirsten Dunst,Wagner Moura,DNA Films,Finland,War
1,786892,en,1053.787,2024-05-22,Furiosa: A Mad Max Saga,7.7,561,168000000,74767619,149,George Miller,Anya Taylor-Joy,Chris Hemsworth,Warner Bros. Pictures,South Korea,Action
2,748783,en,739.671,2024-04-30,The Garfield Movie,6.531,129,60000000,107905136,101,Mark Dindal,Chris Pratt,Samuel L. Jackson,Alcon Entertainment,Hong Kong,Animation
3,1022789,en,665.091,2024-06-06,Inside Out 2,0.0,0,0,0,96,Kelsey Mann,Amy Poehler,Maya Hawke,Pixar,United States of America,Animation
4,937287,en,461.116,2024-04-18,Challengers,7.3,835,55000000,79877397,132,Luca Guadagnino,Zendaya,Mike Faist,Pascal Pictures,Italy,Romance
6,1087388,en,411.536,2024-04-12,Sting,6.3,95,0,1090798,91,Kiah Roache-Turner,Alyla Browne,Ryan Corr,See Pictures,Australia,Horror
7,639720,en,332.924,2024-05-08,IF,6.995,98,110000000,112488950,104,John Krasinski,Cailey Fleming,Ryan Reynolds,Paramount,United States of America,Comedy
8,1012201,ja,267.909,2024-02-16,HAIKYU!! The Dumpster Battle,8.1,14,0,76745015,85,Susumu Mitsunaka,Ayumu Murase,Kaito Ishikawa,Production I.G,Japan,Animation
9,573435,en,249.244,2024-06-05,Bad Boys: Ride or Die,6.0,4,0,0,115,Bilall Fallah,Will Smith,Martin Lawrence,Westbrook Studios,United States of America,Action
10,948549,en,205.075,2024-03-08,Love Lies Bleeding,6.646,206,0,8770948,104,Rose Glass,Kristen Stewart,Katy O'Brian,Film4 Productions,United Kingdom,Crime
11,720321,en,238.851,2024-04-04,Breathe,5.2,72,0,0,93,Stefon Bristol,Jennifer Hudson,Milla Jovovich,Thunder Road,United States of America,Science Fiction
12,519182,en,192.929,2024-06-22,Despicable Me 4,0.0,0,0,0,95,Chris Renaud,Steve Carell,Kristen Wiig,Illumination,United States of America,Animation
13,980026,da,180.199,2023-10-05,The Promised Land,7.77,161,8500000,815359,127,Nikolaj Arcel,Mads Mikkelsen,Amanda Collin,Zentropa International Berlin,Denmark,History
14,758679,en,189.025,2024-01-11,Mothers' Instinct,6.672,58,0,1606319,94,Benoît Delhomme,Anne Hathaway,Jessica Chastain,Freckle Films,Belgium,Drama
15,1026436,en,149.902,2024-01-18,Miller's Girl,6.897,388,4000000,1430985,93,Jade Halley Bartlett,Martin Freeman,Jenna Ortega,Point Grey Pictures,United States of America,Comedy
16,938614,en,162.3,2024-03-19,Late Night with the Devil,7.288,432,2000000,11006672,93,Colin Cairnes,David Dastmalchian,Laura Gordon,Spooky Pictures,Australia,Horror
17,467244,en,152.194,2023-12-15,The Zone of Interest,7.2,1339,15000000,48975567,105,Jonathan Glazer,Christian Friedel,Sandra Hüller,A24,Poland,History
18,762441,en,125.651,2024-06-26,A Quiet Place: Day One,0.0,0,0,0,100,Michael Sarnoski,Lupita Nyong'o,Joseph Quinn,Paramount,United States of America,Horror
19,4935,ja,108.841,2004-09-09,Howl's Moving Castle,8.409,9479,24000000,236049757,119,Hayao Miyazaki,Chieko Baisho,Takuya Kimura,Studio Ghibli,Japan,Fantasy
20,1192209,pt,126.942,2024-01-05,Noah's Ark,7.051,59,0,2162345,96,Alois Di Leo,Rodrigo Santoro,Alice Braga,Gullane Entretenimento,Brazil,Animation
21,845783,en,140.664,2023-12-28,Baghead,6.68,220,0,6278395,95,Alberto Corredor,Freya Allan,Jeremy Irvine,The Picture Company,Germany,Horror
22,838240,es,120.432,2023-12-06,Robot Dreams,8.079,372,6000000,1693008,102,Pablo Berger,Ivan Labanda,Tito Trifol,Arcadia Motion Pictures,France,Animation
23,560016,en,114.634,2024-04-03,Monkey Man,7.146,453,10000000,33756230,121,Dev Patel,Dev Patel,Sharlto Copley,Thunder Road,Canada,Action
24,974635,en,88.301,2024-05-16,Hit Man,6.8,12,0,0,115,Richard Linklater,Glen Powell,Adria Arjona,Aggregate Films,United States of America,Crime
25,1079485,en,91.78,2024-03-26,Winnie-the-Pooh: Blood and Honey 2,7.217,30,415000,739540,93,Rhys Frake-Waterfield,Scott Chambers,Ryan Oliva,Jagged Edge Productions,United Kingdom,Horror
26,1086747,en,74.307,2024-06-06,The Watchers,0.0,0,0,0,102,Ishana Night Shyamalan,Dakota Fanning,Georgina Campbell,Blinding Edge Pictures,United States of America,Horror
27,978592,en,74.727,2024-03-21,Sleeping Dogs,6.853,126,0,0,112,Adam Cooper,Russell Crowe,Karen Gillan,Nickel City Pictures,United States of America,Mystery
28,760774,en,101.353,2023-12-21,One Life,7.754,397,0,51437352,109,James Hawes,Anthony Hopkins,Johnny Flynn,See-Saw Films,United Kingdom,History
29,840430,en,71.902,2023-10-27,The Holdovers,7.7,1240,13000000,42513270,133,Alexander Payne,Paul Giamatti,Dominic Sessa,Miramax,United States of America,Comedy
30,957304,en,63.992,2024-02-22,Drive-Away Dolls,5.544,215,8000000,5250531,84,Ethan Coen,Margaret Qualley,Geraldine Viswanathan,Working Title Films,United Kingdom,Comedy
