,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
0,False,/z121dSTR7PY9KxKuvwiIFSYW8cf.jpg,"[10752, 28, 18]",929590,en,Civil War,"In the near future, a group of war journalists attempt to survive while reporting the truth as the United States stands on the brink of civil war.",2909.036,/sh7Rg8Er3tFcN9BpKIPOMvALgZd.jpg,2024-04-10,Civil War,False,7.2,1095
1,False,/g2QDxkiMFtYcpnXbmLp3ywhNUBZ.jpg,"[28, 12, 878]",786892,en,Furiosa: A Mad Max Saga,"As the world fell, young Furiosa is snatched from the Green Place of Many Mothers and falls into the hands of a great Biker Horde led by the Warlord Dementus. Sweeping through the Wasteland they come across the Citadel presided over by The Immortan Joe. While the two Tyrants war for dominance, Furiosa must survive many trials as she puts together the means to find her way home.",1073.275,/iADOJ8Zymht2JPMoy3R7xceZprc.jpg,2024-05-22,Furiosa: A Mad Max Saga,False,7.719,530
2,False,/vWzJDjLPmycnQ42IppEjMpIhrhc.jpg,"[16, 35, 10751, 12]",748783,en,The Garfield Movie,"Garfield, the world-famous, Monday-hating, lasagna-loving indoor cat, is about to have a wild outdoor adventure! After an unexpected reunion with his long-lost father – scruffy street cat Vic – Garfield and his canine friend Odie are forced from their perfectly pampered life into joining Vic in a hilarious, high-stakes heist.",630.472,/p6AbOJvMQhBmffd0PIv0u8ghWeY.jpg,2024-04-30,The Garfield Movie,False,6.6,127
3,False,/yVgW3PW5Xxk4PHCDzd9f31Aejg5.jpg,"[16, 10751, 18, 12, 14]",1022789,en,Inside Out 2,"Teenager Riley's mind headquarters is undergoing a sudden demolition to make room for something entirely unexpected: new Emotions! Joy, Sadness, Anger, Fear and Disgust, who’ve long been running a successful operation by all accounts, aren’t sure how to feel when Anxiety shows up. And it looks like she’s not alone.",570.552,/gMB8vgHu2lcyzv1fyptD6drHmJd.jpg,2024-06-06,Inside Out 2,False,0.0,0
4,False,/4CcUgdiGe83MeqJW1NyJVmZqRrF.jpg,"[10749, 18]",937287,en,Challengers,"Tennis player turned coach Tashi has taken her husband, Art, and transformed him into a world-famous Grand Slam champion. To jolt him out of his recent losing streak, she signs him up for a ""Challenger"" event — close to the lowest level of pro tournament — where he finds himself standing across the net from his former best friend and Tashi's former boyfriend.",447.838,/H6vke7zGiuLsz4v4RPeReb9rsv.jpg,2024-04-18,Challengers,False,7.279,823
5,False,/rmNlWyez5cniGtXkgixG1ezdqVk.jpg,"[28, 53]",1093995,en,Chief of Station,"After learning that the death of his wife was not an accident, a former CIA Station Chief is forced back into the espionage underworld, teaming up with an adversary to unravel a conspiracy that challenges everything he thought he knew.",420.799,/uuA01PTtPombRPvL9dvsBqOBJWm.jpg,2024-05-02,Chief of Station,False,5.368,38
6,False,/k37Ccgu05Am1xxgN5GaW0HX9Kkl.jpg,"[27, 53]",1087388,en,Sting,"After raising an unnervingly talented spider in secret, 12-year-old Charlotte must face the truth about her pet and fight for her family's survival.",378.654,/zuSAZIG1PSrxFwPeAlGtg9LTwxo.jpg,2024-04-12,Sting,False,6.347,95
7,False,/vpWVeIMNi0Np5shuKFE3QkneiTt.jpg,"[35, 14, 10751]",639720,en,IF,A girl discovers she can see everyone's imaginary friends and embarks on a magical adventure to reconnect forgotten IFs with their kids.,307.946,/xbKFv4KF3sVYuWKllLlwWDmuZP7.jpg,2024-05-08,IF,False,7.0,92
8,False,/JtN7Q03S3oq7A4KZ7Z3I7m3osP.jpg,"[28, 53, 80]",573435,en,Bad Boys: Ride or Die,"After their late former Captain is framed, Lowrey and Burnett try to clear his name, only to end up on the run themselves.",247.976,/nP6RliHjxsz4irTKsxe8FRhKZYl.jpg,2024-06-05,Bad Boys: Ride or Die,False,4.667,3
9,False,/9wJO4MBzkqgUZemLTGEsgUbYyP6.jpg,"[878, 9648, 53]",720321,en,Breathe,"Air-supply is scarce in the near future, forcing a mother and daughter to fight for survival when two strangers arrive desperate for an oxygenated haven.",195.707,/wTW2t8ocWDlHns8I7vQxuqkyK58.jpg,2024-04-04,Breathe,False,5.2,72
10,False,/pydQ0DDDIOwFZ9EucR0LoMLWTvO.jpg,"[36, 18]",980026,da,Bastarden,"Denmark, 1755. Captain Ludvig Kahlen sets out to conquer a Danish heath reputed to be uncultivable, with an impossible goal: to establish a colony in the name of the king, in exchange for a royal title. A single-minded ambition that the ruthless lord of the region will relentlessly seek to put down. Kahlen's fate hangs in the balance: will his endevours bring him wealth and honour, or cost him his life...?",184.118,/npQgoOWn4fnvOIIyTj4rIV80FXC.jpg,2023-10-05,The Promised Land,False,7.781,160
11,False,/2ak94bJfXxHR5vBxwrpkycwOKv3.jpg,"[18, 53]",758679,en,Mothers' Instinct,"Alice and Celine are inseparable and share everything, from their daily routines to their secrets. Their perfect harmony is shattered when one of their sons dies in a tragic accident while under Alice’s care. Celine blames Alice for the death of her child and becomes obsessed with protecting her surviving son from any harm. Alice, on the other hand, feels guilty and paranoid that Celine is plotting to harm her and her family. A gripping battle of wills ensues as the two women spiral into madness and violence.",172.852,/xscMEP5VsvCLxFvrDQD84biWsLA.jpg,2024-01-11,Mothers' Instinct,False,6.655,55
12,False,/oMiKHO3H5RixfLsiU5Vumhlp5sj.jpg,"[80, 10749, 53]",948549,en,Love Lies Bleeding,"Reclusive gym manager Lou falls hard for Jackie, an ambitious bodybuilder headed through town to Las Vegas in pursuit of her dream. But their love ignites violence, pulling them deep into the web of Lou’s criminal family.",175.643,/p7jyFWiLyHPttqYBFAlLJwtYTYH.jpg,2024-03-08,Love Lies Bleeding,False,6.667,201
13,False,/8SwK37xrQnLnLeLqdy3ByH09wI1.jpg,"[35, 18, 9648, 53]",1026436,en,Miller's Girl,A precocious young writer becomes involved with her high school creative writing teacher in a dark coming-of-age drama that examines the blurred lines of emotional connectivity between professor and protégé.,163.383,/y9zzaN65LOO56nUGC31x9mWQzoi.jpg,2024-01-18,Miller's Girl,False,6.891,384
14,False,/ycCj6Ssuu2IdM23AYR7B8nbxQPA.jpg,"[16, 10751, 35, 28, 878]",519182,en,Despicable Me 4,"Gru and Lucy and their girls — Margo, Edith and Agnes — welcome a new member to the Gru family, Gru Jr., who is intent on tormenting his dad. Gru faces a new nemesis in Maxime Le Mal and his femme fatale girlfriend Valentina, and the family is forced to go on the run.",194.533,/sLfOBtHH0yW9eyGktpANmB3m1du.jpg,2024-06-22,Despicable Me 4,False,0.0,0
15,False,/zzeG1zs4in1a5UI96jjhlf5FyLV.jpg,"[16, 18]",1012201,ja,劇場版ハイキュー!! ゴミ捨て場の決戦,"Shoyo Hinata joins Karasuno High's volleyball club to be like his idol, a former Karasuno player known as the 'Little Giant'. But Hinata soon learns that he must team up with his middle school nemesis, Tobio Kageyama. Their clashing styles form a surprising weapon, but can their newfound teamwork defeat their rival Nekoma High in the highly anticipated 'Dumpster Battle', the long awaited ultimate showdown between two opposing underdog teams?",208.702,/ntRU0OA4etGGiMMmH1Yw0bnaMdW.jpg,2024-02-16,HAIKYU!! The Dumpster Battle,False,8.071,14
16,False,/4yrOyO3N55XazHQXXYoqiiPQd40.jpg,[27],938614,en,Late Night with the Devil,"A live broadcast of a late-night talk show in 1977 goes horribly wrong, unleashing evil into the nation's living rooms.",153.579,/u3YQJctMzFN2wAvnkmXy41bXhFv.jpg,2024-03-19,Late Night with the Devil,False,7.293,427
17,False,/zQmduqL64nhyNDOZfosfHtkrhtj.jpg,"[27, 878, 53]",762441,en,A Quiet Place: Day One,"As New York City is invaded by alien creatures who hunt by sound, a woman named Sammy fights to survive.",143.802,/yrpPYKijwdMHyTGIOd1iK1h0Xno.jpg,2024-06-26,A Quiet Place: Day One,False,0.0,0
18,False,/qSc5JzPvSm6KxVv54nrn7SNXFtk.jpg,"[16, 10402, 35]",1192209,pt,Arca de Noé,"A pair of mice attempt to board Noah's Ark: Vini, a charismatic poet with terrible stage fright, and Tito, a talented and charming guitarist. When the rains come, only one male and one female of each species is allowed on Noah's Ark. With the help of an ingenious cockroach and fate's good luck, Vini and Tito sneak their way onto the Ark and together avert a showdown among the ships carnivores and plant eaters. All the while, the animals perform a series of classic songs inspired by world renowned poet, Vinicius de Moraes. Can these talented stowaways use music to break the tension and help these cooped up creatures survive the 40 days and 40 nights together?",118.602,/j1Rjw6a62UwrbTNT0I3JzZnnCmr.jpg,2024-01-05,Noah's Ark,False,7.051,59
19,False,/954M4NsqzxIcl1so0iFPfFQTb72.jpg,"[16, 18, 35, 878]",838240,es,Robot Dreams,"Dog lives in Manhattan and he's tired of being alone. One day he decides to build himself a robot, a companion. Their friendship blossoms, until they become inseparable, to the rhythm of '80s NYC. One summer night, Dog, with great sadness, is forced to abandon Robot at the beach. Will they ever meet again?",107.151,/aoFmPEEb4QoqSNaTVfkATLB1CGF.jpg,2023-12-06,Robot Dreams,False,8.102,369
20,False,/b4xaqpUZFUkgyJ1VcFEPXmDML34.jpg,[27],845783,en,Baghead,"Following the death of her estranged father, Iris learns she has inherited a run-down, centuries-old pub. She travels to Berlin to identify her father’s body and meet with The Solicitor to discuss the estate. Little does she know, when the deed is signed she will become inextricably tied to an unspeakable entity that resides in the pub’s basement – Baghead – a shape-shifting creature that can transform into the dead.",113.591,/lbOyeiiRYAE6Nm2e7xiNAAaRwZB.jpg,2023-12-28,Baghead,False,6.663,218
21,False,/lA6KdSkCTxwzvqzPqxch997RabQ.jpg,"[28, 53]",560016,en,Monkey Man,"Kid is an anonymous young man who ekes out a meager living in an underground fight club where, night after night, wearing a gorilla mask, he is beaten bloody by more popular fighters for cash. After years of suppressed rage, Kid discovers a way to infiltrate the enclave of the city’s sinister elite. As his childhood trauma boils over, his mysteriously scarred hands unleash an explosive campaign of retribution to settle the score with the men who took everything from him.",107.026,/4lhR4L2vzzjl68P1zJyCH755Oz4.jpg,2024-04-03,Monkey Man,False,7.146,451
22,False,/aPQsU3yLDUOhLJYnSqkhKRkQTAw.jpg,"[36, 18]",467244,en,The Zone of Interest,"The commandant of Auschwitz, Rudolf Höss, and his wife Hedwig, strive to build a dream life for their family in a house and garden next to the camp.",145.525,/hUu9zyZmDd8VZegKi1iK1Vk0RYS.jpg,2023-12-15,The Zone of Interest,False,7.2,1336
23,False,/xqaN2WYQclQlqvKvsOcNgOx2vRn.jpg,"[14, 16, 12]",4935,ja,ハウルの動く城,"Sophie, a young milliner, is turned into an elderly woman by a witch who enters her shop and curses her. She encounters a wizard named Howl and gets caught up in his resistance to fighting for the king.",122.268,/6pZgH10jhpToPcf0uvyTCPFhWpI.jpg,2004-09-09,Howl's Moving Castle,False,8.409,9474
24,False,/ApaIml5l5LFFmkBOCcuQn2qr69S.jpg,"[80, 35, 10749]",974635,en,Hit Man,A mild-mannered professor moonlighting as a fake contract killer sparks a chain reaction of trouble when he falls for a client.,91.856,/1126gjlBf4hTm9Sgf0ox3LGVEBt.jpg,2024-05-16,Hit Man,False,6.8,10
25,False,/mYPsDej53aibXId6BSxb3Q5fAHg.jpg,"[9648, 53, 80, 18]",978592,en,Sleeping Dogs,"Roy Freeman, an ex-homicide detective with a fractured memory, is forced to revisit a case he can't remember. As a man's life hangs in the balance on death row, Freeman must piece together the brutal evidence from a decade-old murder investigation, uncovering a sinister web of buried secrets and betrayals linking to his past. With only instincts to trust, he faces a chilling truth - sometimes, it's best to let sleeping dogs lie.",76.373,/5DwQhh1HvTo7edaOeMX49NUyZqy.jpg,2024-03-21,Sleeping Dogs,False,6.758,118
26,False,/p4INKu77iuTG1o1a5N3Y9vqeEGq.jpg,"[27, 53, 9648, 35]",1079485,en,Winnie-the-Pooh: Blood and Honey 2,"Five months following the murders, Christopher Robin tries returning to his regular life while dealing with his PTSD. Deep within the 100-Acre-Wood, a destructive rage grows as Winnie-the-Pooh, Piglet, Owl, and Tigger find their home and their lives endangered after their existence is revealed.",83.928,/2sADrLwMQof6yYmrJRSa04tFZuS.jpg,2024-03-26,Winnie-the-Pooh: Blood and Honey 2,False,7.217,30
27,False,/oZDRuGHhe5uY8wBqFJcJZT9kdvJ.jpg,"[27, 9648, 53]",1086747,en,The Watchers,"When 28-year-old artist Mina finds shelter after getting stranded in an expansive, untouched forest in western Ireland, she unknowingly becomes trapped alongside three strangers that are watched and stalked by mysterious creatures each night.",76.824,/vZVEUPychdvZLrTNwWErr9xZFmu.jpg,2024-06-06,The Watchers,False,0.0,0
28,False,/9s9o9RT9Yj6nDuRJjnJm78WFoFl.jpg,"[878, 53, 27]",1051896,en,Arcadian,"In a near future, normal life on Earth has been decimated. Paul and his two sons, Thomas and Joseph, have been living a half-life – tranquility by day and torment by night. Every night, after the sun sets, they face the unrelenting attacks of a mysterious and violent evil. One day, when Thomas doesn't return home before sundown, Paul must leave the safety of their fortified farm to find him. A nightmarish battle ensues that forces the family to execute a desperate plan to survive.",64.299,/spWV1eRzlDxvai8LbxwAWR0Vst4.jpg,2024-04-12,Arcadian,False,6.301,158
29,False,/i2wOczbsqcNTIoiALU3NrdA5RPY.jpg,"[27, 53]",646683,en,The Exorcism,"A troubled actor begins to unravel while shooting a supernatural horror film, leading his estranged daughter to wonder if he's slipping back into his past addictions or if there's something more sinister at play.",59.115,/tGwZ8w2dqbrvl0WYLKAljraP1Cg.jpg,2024-05-30,The Exorcism,False,3.7,3
30,False,/dNplOw9U5IzlY7nNiaMS0JSVobp.jpg,"[18, 35]",1029955,en,Kinds of Kindness,"A triptych fable following a man without choice who tries to take control of his own life; a policeman who is alarmed that his wife who was missing-at-sea has returned and seems a different person; and a woman determined to find a specific someone with a special ability, who is destined to become a prodigious spiritual leader.",60.167,/cYE1bYbyBcFWWmmlI16HCINxIVz.jpg,2024-05-30,Kinds of Kindness,False,6.5,4
31,False,/zVMdsmRUH2U1bZSYr8GLZkfs3mi.jpg,"[35, 80]",957304,en,Drive-Away Dolls,"Jamie, an uninhibited free spirit bemoaning yet another breakup with a girlfriend, and her demure friend Marian desperately needs to loosen up. In search of a fresh start, the two embark on an impromptu road trip to Tallahassee, but things quickly go awry when they cross paths with a group of inept criminals along the way.",66.982,/gavGnAMTXPkpoFgG0stwgIgKb64.jpg,2024-02-22,Drive-Away Dolls,False,5.5,213
